2012-09-23 22:42:16 status unpacked base-passwd 3.5.24
2012-09-23 22:42:16 status half-installed base-passwd 3.5.24
2012-09-23 22:42:16 status half-installed base-passwd 3.5.24
2012-09-23 22:42:16 status unpacked base-passwd 3.5.24
2012-09-23 22:42:16 status unpacked base-passwd 3.5.24
2012-09-23 22:42:16 install bash <none> 4.2-2ubuntu2
2012-09-23 22:42:16 status half-installed bash 4.2-2ubuntu2
2012-09-23 22:42:17 status unpacked bash 4.2-2ubuntu2
2012-09-23 22:42:17 status unpacked bash 4.2-2ubuntu2
2012-09-23 22:42:17 install bsdutils <none> 1:2.20.1-1ubuntu3
2012-09-23 22:42:17 status half-installed bsdutils 1:2.20.1-1ubuntu3
2012-09-23 22:42:17 status unpacked bsdutils 1:2.20.1-1ubuntu3
2012-09-23 22:42:17 status unpacked bsdutils 1:2.20.1-1ubuntu3
2012-09-23 22:42:17 install busybox-initramfs <none> 1:1.18.5-1ubuntu4
2012-09-23 22:42:17 status half-installed busybox-initramfs 1:1.18.5-1ubuntu4
2012-09-23 22:42:17 status unpacked busybox-initramfs 1:1.18.5-1ubuntu4
2012-09-23 22:42:17 status unpacked busybox-initramfs 1:1.18.5-1ubuntu4
2012-09-23 22:42:17 install coreutils <none> 8.13-3ubuntu3
2012-09-23 22:42:17 status half-installed coreutils 8.13-3ubuntu3
2012-09-23 22:42:18 status unpacked coreutils 8.13-3ubuntu3
2012-09-23 22:42:18 status unpacked coreutils 8.13-3ubuntu3
2012-09-23 22:42:18 install cpio <none> 2.11-7ubuntu3
2012-09-23 22:42:18 status half-installed cpio 2.11-7ubuntu3
2012-09-23 22:42:18 status unpacked cpio 2.11-7ubuntu3
2012-09-23 22:42:18 status unpacked cpio 2.11-7ubuntu3
2012-09-23 22:42:18 install dash <none> 0.5.7-2ubuntu2
2012-09-23 22:42:18 status half-installed dash 0.5.7-2ubuntu2
2012-09-23 22:42:19 status unpacked dash 0.5.7-2ubuntu2
2012-09-23 22:42:19 status unpacked dash 0.5.7-2ubuntu2
2012-09-23 22:42:19 upgrade debconf 1.5.42ubuntu1 1.5.42ubuntu1
2012-09-23 22:42:19 status half-configured debconf 1.5.42ubuntu1
2012-09-23 22:42:20 status unpacked debconf 1.5.42ubuntu1
2012-09-23 22:42:20 status half-installed debconf 1.5.42ubuntu1
2012-09-23 22:42:20 status half-installed debconf 1.5.42ubuntu1
2012-09-23 22:42:20 status unpacked debconf 1.5.42ubuntu1
2012-09-23 22:42:20 status unpacked debconf 1.5.42ubuntu1
2012-09-23 22:42:21 install debianutils <none> 4.2.1ubuntu2
2012-09-23 22:42:21 status half-installed debianutils 4.2.1ubuntu2
